,npk,conductivity,ph
Tomato,10-10-10,1.2-1.8,5.5-6.5
Pepper,5-10-10,1.0-1.5,5.5-6.5
Cucumber,3-10-10,1.2-1.8,5.8-6.8
Lettuce,5-5-5,0.8-1.2,5.8-6.8
Spinach,10-10-10,1.0-1.5,6.0-7.0
Kale,5-5-10,1.0-1.5,6.0-7.0
Zucchini,5-10-10,1.2-1.8,5.8-6.8
Carrot,5-10-10,0.8-1.2,5.8-6.8
Radish,5-10-10,1.0-1.5,5.5-6.5
Broccoli,5-10-10,1.0-1.5,6.0-7.0
Cauliflower,5-10-10,1.0-1.5,6.0-7.0
Peas,5-10-10,1.0-1.5,5.8-6.8
GreenBeans,5-10-10,1.0-1.5,5.8-6.8
Squash,5-10-10,1.2-1.8,5.8-6.8
Cabbage,5-10-10,1.0-1.5,6.0-7.0
Onion,10-10-10,0.8-1.2,5.5-6.5
Potato,5-10-10,1.0-1.5,5.5-6.5
Beetroot,10-10-10,1.0-1.5,6.0-7.0
Eggplant,5-10-10,1.2-1.8,5.8-6.5
Corn,10-10-10,1.2-1.8,6.0-6.8
Pumpkin,5-10-10,1.2-1.8,6.0-6.5
Garlic,10-10-10,1.0-1.5,6.0-7.0
Celery,5-10-10,1.2-1.8,6.0-7.0
Parsnip,5-10-10,0.8-1.2,5.5-6.5
SweetPotato,5-10-10,1.2-1.8,5.5-6.5
SwissChard,5-10-10,1.0-1.5,6.0-7.0
Asparagus,10-10-10,1.0-1.5,6.0-7.0
BokChoy,5-10-10,1.0-1.5,6.0-7.0
BrusselSprouts,5-10-10,1.0-1.5,6.0-7.0
CollardGreens,5-10-10,1.0-1.5,6.0-7.0
Endive,5-10-10,1.0-1.5,6.0-7.0
Fennel,5-10-10,1.0-1.5,6.0-7.0
Leek,5-10-10,1.0-1.5,6.0-7.0
Okra,5-10-10,1.2-1.8,6.0-6.8
Parsley,5-10-10,1.0-1.5,6.0-7.0
Radicchio,5-10-10,1.0-1.5,6.0-7.0
Rhubarb,5-10-10,1.0-1.5,6.0-7.0
Turnip,5-10-10,1.0-1.5,5.5-6.5
Watermelon,10-10-10,1.2-1.8,6.0-6.5
Artichoke,5-10-10,1.0-1.5,6.0-7.0
Arugula,5-10-10,1.0-1.5,6.0-7.0
MustardGreens,5-10-10,1.0-1.5,6.0-7.0
Peanuts,5-10-10,1.0-1.5,6.0-7.0
Tarragon,5-10-10,1.0-1.5,6.0-7.0
Dill,5-10-10,1.0-1.5,6.0-7.0
